run_name,epoch,lr,dropout,weight_decay,train_acc,val_acc,overfitting_gap,use_focal_loss,timestamp,subdir,lr_extracted,dropout_extracted,weight_decay_extracted,focal_extracted
lr5e-6_dr0.3_wd1e-3,3,5e-06,0.3,0.001,58.93,62.25,-3.31,0,2025-08-12 17:44:42,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,6,5e-06,0.4,0.0005,59.79,62.81,-3.03,0,2025-08-12 17:45:35,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,6,5e-06,0.3,0.002,59.8,63.5,-3.7,0,2025-08-12 17:45:37,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,6,5e-06,0.3,0.002,56.72,60.41,-3.69,1,2025-08-12 17:45:37,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,6,5e-06,0.4,0.0005,55.96,59.67,-3.71,1,2025-08-12 17:45:39,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.4_wd5e-4,7,5e-06,0.4,0.0005,59.85,63.84,-3.99,0,2025-08-12 17:47:35,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,7,5e-06,0.3,0.002,60.52,64.33,-3.81,0,2025-08-12 17:47:39,.,5e-06,0.3,0.002,False
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,7,5e-06,0.3,0.002,56.88,61.86,-4.99,1,2025-08-12 17:47:39,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,7,5e-06,0.4,0.0005,56.12,61.12,-5.0,1,2025-08-12 17:47:41,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,4,5e-06,0.3,0.001,55.78,59.06,-3.28,1,2025-08-12 17:48:12,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,4,5e-06,0.3,0.0005,59.24,62.67,-3.43,0,2025-08-12 17:48:22,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,4,5e-06,0.3,0.0005,55.73,59.75,-4.02,1,2025-08-12 17:48:24,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,4,5e-06,0.3,0.001,59.08,63.01,-3.93,0,2025-08-12 17:48:25,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,8,5e-06,0.4,0.0005,60.22,63.54,-3.32,0,2025-08-12 17:49:35,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,8,5e-06,0.3,0.002,60.71,64.69,-3.98,0,2025-08-12 17:49:40,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,8,5e-06,0.4,0.0005,56.63,61.76,-5.13,1,2025-08-12 17:49:43,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,8,5e-06,0.3,0.002,56.96,62.55,-5.59,1,2025-08-12 17:49:43,.,5e-06,0.3,0.002,True
lr5e-6_dr0.4_wd5e-4,9,5e-06,0.4,0.0005,60.29,63.98,-3.69,0,2025-08-12 17:51:35,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,9,5e-06,0.3,0.002,60.73,63.88,-3.15,0,2025-08-12 17:51:42,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,9,5e-06,0.4,0.0005,56.2,61.24,-5.03,1,2025-08-12 17:51:44,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,9,5e-06,0.3,0.002,57.52,62.33,-4.81,1,2025-08-12 17:51:44,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,5,5e-06,0.3,0.001,57.1,60.01,-2.91,1,2025-08-12 17:51:49,.,5e-06,0.3,0.001,True
lr5e-6_dr0.3_wd5e-4,5,5e-06,0.3,0.0005,59.84,64.1,-4.27,0,2025-08-12 17:52:03,.,5e-06,0.3,0.0005,False
lr5e-6_dr0.3_wd5e-4_focal_focal_focal,5,5e-06,0.3,0.0005,56.62,58.8,-2.17,1,2025-08-12 17:52:05,.,5e-06,0.3,0.0005,True
lr5e-6_dr0.3_wd1e-3,5,5e-06,0.3,0.001,59.71,63.05,-3.35,0,2025-08-12 17:52:08,.,5e-06,0.3,0.001,False
lr5e-6_dr0.4_wd5e-4,10,5e-06,0.4,0.0005,60.55,64.43,-3.87,0,2025-08-12 17:53:36,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,10,5e-06,0.3,0.002,61.25,64.47,-3.21,0,2025-08-12 17:53:42,.,5e-06,0.3,0.002,False
lr5e-6_dr0.4_wd5e-4_focal_focal_focal,10,5e-06,0.4,0.0005,56.4,62.11,-5.71,1,2025-08-12 17:53:43,.,5e-06,0.4,0.0005,True
lr5e-6_dr0.3_wd2e-3_focal_focal_focal,10,5e-06,0.3,0.002,57.57,63.66,-6.09,1,2025-08-12 17:53:44,.,5e-06,0.3,0.002,True
lr5e-6_dr0.3_wd1e-3_focal_focal_focal,6,5e-06,0.3,0.001,56.47,59.77,-3.3,1,2025-08-12 17:55:28,.,5e-06,0.3,0.001,True
lr5e-6_dr0.4_wd5e-4,11,5e-06,0.4,0.0005,61.01,64.83,-3.82,0,2025-08-12 17:55:37,.,5e-06,0.4,0.0005,False
lr5e-6_dr0.3_wd2e-3,11,5e-06,0.3,0.002,61.12,63.62,-2.5,0,2025-08-12 17:55:43,.,5e-06,0.3,0.002,False
