,id_,pre_id,post_id,dist_to_post_syn_soma,dist_to_pre_syn_soma,size,center_position,synapses_depth_in_post,synapses_depth_in_pre,compartment_in_post_syn_soma,compartment_in_pre_syn_soma,pre_clf_type,pre_cell_type,pre_m_type,post_clf_type,post_cell_type,post_mtype_type
11439,326221036,864691136116152228,864691135737254532,19.68690515136719,124.90905169677734,2560,[69117.    57438.      489.425],-1.0,-1.0,3.0,3.0,E,6P-CT,L6tall-c,I,BC,PTC
11440,112078142,864691135776263597,864691136042152534,156.91479969787596,624.8741547470092,480,[148400. 209489.  17742.],-1.0,-1.0,2.0,2.0,E,6P-IT,L6short-a,I,BC,DTC
11441,157873714,864691135953216547,864691135737805700,109.97752795410156,322.13613540649413,1604,[179484. 117912.  26734.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2a
11442,86113072,864691135777111997,864691136601595345,103.58025212097168,158.03998275756837,1552,[135136. 150096.  25246.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L3a
11443,273971328,864691135345612959,864691135947039329,95.76399627685548,206.47543351745605,1304,[242510. 219896.  25694.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,6P-CT,L6tall-a
11444,140220959,864691136125074214,864691135755237330,22.335307006835937,655.3232889099121,3924,[40932.   39349.     648.05],-1.0,-1.0,3.0,2.0,E,6P-CT,L6tall-c,E,4P,L3b
11445,82334295,864691135275348453,864691136100266613,92.84612896728515,193.28114254760743,11204,[119156. 212992.  24728.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5b,E,5P-ET,L5ET
11446,188611162,864691136380349397,864691135323902108,35.67050836181641,199.1227703151703,7568,[48345.    43258.      453.075],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4a
11447,279358751,864691135992816065,864691136602622161,84.34661676025391,211.7923741836548,912,[248712. 176072.  25815.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L6short-a
11448,353773836,864691135342058437,864691136208994492,113.87270858764649,244.24635401916504,8448,[290850. 206498.  16607.],-1.0,-1.0,3.0,2.0,E,5P-IT,L6short-a,E,6P-IT,L6tall-a
11449,270881918,864691136109777336,864691136578297876,33.87205914306641,245.6222565612793,15128,[60686.   62410.     606.05],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-c,E,6P-IT,L6short-b
11450,315801583,864691135809512140,864691135938309173,77.76281085205078,291.2600153236389,25208,[271874. 110908.  24056.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L2a
11451,142221781,864691135385595989,864691136238873148,80.45791381835937,285.28495411682127,7736,[164748. 214872.  20307.],-1.0,-1.0,3.0,3.0,E,5P-ET,L5ET,E,5P-IT,L5b
11452,290854622,864691135975483247,864691135207780217,87.42537316894531,142.81698376464843,3456,[254959. 216967.  16738.],-1.0,-1.0,3.0,2.0,E,5P-ET,L5ET,E,6P-IT,L6tall-a
11453,429271526,864691136560317090,864691135195176490,191.42788333129883,164.9673380126953,6444,[335788. 224134.  21791.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-c,E,6P-IT,L6short-b
11454,85313639,864691135581617517,864691135429586992,183.5104423980713,533.4863229446411,1868,[33370.5  54591.     492.95],-1.0,-1.0,3.0,2.0,E,23P,L2b,I,MC,DTC
11455,103896196,864691135278228129,864691136966112462,67.87567529296875,62.06157421875,1640,[35739.5   62534.      675.475],-1.0,-1.0,3.0,3.0,E,5P-ET,L6tall-b,I,BC,PTC
11456,327329126,864691135645143279,864691137053964918,47.9790546875,209.20369915771485,476,[274480. 172098.  17485.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5b,E,5P-IT,L5a
11457,174604405,864691135509890057,864691135926137102,72.22132878112792,411.9721387672424,644,[184930. 184047.  21009.],-1.0,-1.0,3.0,2.0,E,6P-IT,L5ET,E,5P-IT,L4c
11458,367835526,864691136297322523,864691135561542625,68.04190460205078,316.9233431854248,1252,[299767. 196128.  24026.],-1.0,-1.0,3.0,2.0,E,5P-IT,L5b,E,5P-IT,L5b
11459,374584937,864691135489187386,864691136451891199,32.78733911132812,245.73732092285155,4924,[305586. 176542.  24749.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-ET,L5a
11460,71163740,864691135684133106,864691136106331609,89.53607522583007,822.5276168746948,5652,[129750. 200744.  23473.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-c,I,MC,DTC
11461,98232653,864691136601937873,864691136051522291,59.70203630065918,577.0816244659424,5772,[35645.75 53650.25   431.2 ],-1.0,-1.0,3.0,3.0,E,5P-IT,L5b,E,5P-IT,L6tall-a
11462,75357535,864691136379776981,864691136990947477,64.609150390625,343.2042966918945,4472,[127643. 190047.  19831.],-1.0,-1.0,3.0,2.0,E,23P,L2c,I,MC,DTC
11463,118835974,864691135526791515,864691135194949162,57.15679843139648,73.89400659179688,536,[154186. 144042.  27121.],-1.0,-1.0,3.0,3.0,E,23P,L2c,E,23P,L3a
11464,256651172,864691136703272814,864691135509129225,54.599166564941406,325.21036184692383,2712,[58750.    29157.25    425.675],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L3a
11465,231055039,864691135644911087,864691135123329575,36.83155419921875,127.78314349365236,3244,[54367.5   42719.5     681.475],-1.0,-1.0,3.0,2.0,I,BC,DTC,E,4P,L4c
11466,478363447,864691136201203646,864691135920722179,16.675696044921875,204.5610823898316,15256,[92510.5  27420.     583.45],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L2c
11467,272254355,864691136119421208,864691135995493546,95.475580078125,306.7599159851074,14680,[61022.5   41966.75    630.825],-1.0,-1.0,3.0,2.0,E,5P-IT,L5a,E,4P,L4b
11468,440135491,864691136334852787,864691135938868789,10.2771357421875,138.03849252319336,2640,[86835.    36940.      400.675],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4b
11469,138511197,864691135594581547,864691136124551462,53.23928338623047,649.0457879638672,4884,[166006. 153140.  23901.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,23P,L4b
11470,379153721,864691135761826614,864691136965815758,84.88131781005859,177.387865234375,1272,[310354. 204190.  17837.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,6P-CT,L6tall-a
11471,30065721,864691136041043286,864691136270157197,50.26991082763672,96.87821015930176,664,[ 99948. 255722.  16437.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-c,E,6P-CT,L6tall-a
11472,414501156,864691135591459595,864691135455219818,101.60011956787108,513.7590840759277,2912,[330088. 134536.  22797.],-1.0,-1.0,3.0,2.0,E,23P,L2a,E,4P,L4a
11473,460985035,864691136116942756,864691135927352788,118.13101094055176,229.34025364685056,2008,[356716. 178842.  17663.],-1.0,-1.0,3.0,3.0,E,4P,L3b,I,BC,PTC
11474,54490059,864691136362464994,864691135564966679,128.77614909362794,176.76575999450682,10352,[116704. 185786.  17259.],-1.0,-1.0,3.0,2.0,E,4P,L4c,E,5P-ET,L4b
11475,103694529,864691136925862218,864691135715512858,202.36299353027343,701.412539943695,5860,[144350. 188328.  23085.],-1.0,-1.0,3.0,3.0,E,5P-IT,L4c,I,BPC,ITC
11476,172827387,864691135469724242,864691135783740723,149.65406031799316,413.1900616760254,2096,[46336.25 24827.75   487.8 ],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2c
11477,162346298,864691136925378634,864691135940534182,92.6093094177246,215.6259129943848,3828,[44663.  63139.5   448.5],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-a,E,6P-IT,L6tall-c
11478,239507916,864691136237822479,864691136391169407,194.1810886230469,469.8379793243408,5368,[227886.  87672.  24034.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2c
11479,238609662,864691136380300757,864691135739897492,57.5210498046875,157.5012942504883,732,[55934.    43052.5     438.225],-1.0,-1.0,3.0,3.0,E,4P,L4b,E,4P,L4b
11480,391589055,864691136590282402,864691135272377105,12.0531328125,281.51468058776857,12204,[315813. 163198.  22858.],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,5P-IT,L4a
11481,259929473,864691135387381121,864691135572094189,102.27542504882813,303.2284975891113,6732,[239244.  87910.  24428.],-1.0,-1.0,3.0,3.0,E,4P,L4b,I,BC,PTC
11482,210016106,864691136923311076,864691135503353525,288.26678140258787,353.64632373046874,3224,[204438. 188018.  18835.],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,6P-CT,L6tall-c
11483,93137881,864691135374199240,864691135382905323,43.984659576416014,420.6180393981933,20740,[34588.5 60939.    497.9],-1.0,-1.0,3.0,2.0,E,6P-IT,L6tall-a,E,6P-CT,L6tall-a
11484,45491210,864691135341505221,864691136371501448,92.7814944152832,129.11900281906128,256,[28296.    35137.5     421.675],-1.0,-1.0,3.0,3.0,I,MC,DTC,E,23P,L2c
11485,269326353,864691135724997803,864691136275101197,82.73769952392578,402.872841583252,7836,[60865.5  51927.     541.65],-1.0,-1.0,3.0,2.0,E,23P,L3b,E,6P-IT,L6tall-a
11486,75844421,864691134964691231,864691136672845191,89.25669227600098,75.18264688110352,3516,[126734. 211592.  19730.],-1.0,-1.0,3.0,3.0,E,5P-IT,L5b,E,5P-NP,L5NP
11487,170815419,864691135807316253,864691136444633731,42.26098260498047,328.59305238723755,5020,[187214. 132394.  15192.],-1.0,-1.0,3.0,3.0,E,4P,L4b,E,23P,L2c
11488,197299807,864691136974249500,864691135762469686,159.1261845703125,194.3395729827881,20324,[49735.5 57247.    653.2],-1.0,-1.0,3.0,3.0,E,5P-NP,L5NP,E,6P-IT,L6short-a
11489,489195417,864691136237481276,864691135991475905,76.2947115020752,118.2620061187744,4172,[94172.5   52135.5     548.025],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,6P-IT,L6short-a
11490,347970515,864691136451496959,864691135777105597,47.62151373291016,480.2066180496216,7240,[72469.  53714.5   668.8],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,6P-CT,L6tall-a
11491,189139508,864691135101289504,864691135565731863,9.2806552734375,282.9653957595825,4232,[48388.5   39032.5     519.775],-1.0,-1.0,3.0,2.0,I,BC,PTC,E,4P,L4b
11492,82215269,864691136208988604,864691135518213002,25.645545532226564,255.7077510375977,3728,[120668. 205568.  19115.],-1.0,-1.0,3.0,3.0,E,6P-IT,L6tall-b,E,5P-IT,L6short-a
11493,165551953,864691135808473885,864691135181690370,121.57010375976564,456.497508102417,3428,[45538.    24502.5     473.625],-1.0,-1.0,3.0,2.0,I,MC,DTC,E,23P,L2b
